"","boundaryISO","boundaryType"
"1","ABW","ADM0"
"2","AFG","ADM0"
"3","AFG","ADM1"
"4","AFG","ADM2"
"5","AGO","ADM0"
"6","AGO","ADM1"
"7","AGO","ADM2"
"8","AGO","ADM3"
"9","AIA","ADM0"
"10","ALB","ADM0"
"11","ALB","ADM1"
"12","ALB","ADM2"
"13","ALB","ADM3"
"14","AND","ADM0"
"15","AND","ADM1"
"16","ARE","ADM0"
"17","ARE","ADM1"
"18","ARG","ADM0"
"19","ARG","ADM1"
"20","ARG","ADM2"
"21","ARM","ADM0"
"22","ARM","ADM1"
"23","ARM","ADM2"
"24","ASM","ADM0"
"25","ASM","ADM3"
"26","ATA","ADM0"
"27","ATG","ADM0"
"28","ATG","ADM1"
"29","AUS","ADM0"
"30","AUS","ADM1"
"31","AUS","ADM2"
"32","AUT","ADM0"
"33","AUT","ADM1"
"34","AUT","ADM2"
"35","AUT","ADM3"
"36","AUT","ADM4"
"37","AZE","ADM0"
"38","AZE","ADM1"
"39","AZE","ADM2"
"40","BDI","ADM0"
"41","BDI","ADM1"
"42","BDI","ADM2"
"43","BDI","ADM3"
"44","BEL","ADM0"
"45","BEL","ADM1"
"46","BEL","ADM2"
"47","BEL","ADM3"
"48","BEL","ADM4"
"49","BEN","ADM0"
"50","BEN","ADM1"
"51","BEN","ADM2"
"52","BEN","ADM3"
"53","BES","ADM0"
"54","BFA","ADM0"
"55","BFA","ADM1"
"56","BFA","ADM2"
"57","BFA","ADM3"
"58","BGD","ADM0"
"59","BGD","ADM1"
"60","BGD","ADM2"
"61","BGD","ADM3"
"62","BGD","ADM4"
"63","BGR","ADM0"
"64","BGR","ADM1"
"65","BGR","ADM2"
"66","BHR","ADM0"
"67","BHR","ADM1"
"68","BHS","ADM0"
"69","BHS","ADM1"
"70","BHS","ADM2"
"71","BIH","ADM0"
"72","BIH","ADM1"
"73","BIH","ADM2"
"74","BIH","ADM3"
"75","BLM","ADM0"
"76","BLR","ADM0"
"77","BLR","ADM1"
"78","BLR","ADM2"
"79","BLZ","ADM0"
"80","BLZ","ADM1"
"81","BLZ","ADM2"
"82","BMU","ADM0"
"83","BOL","ADM0"
"84","BOL","ADM1"
"85","BOL","ADM2"
"86","BOL","ADM3"
"87","BRA","ADM0"
"88","BRA","ADM1"
"89","BRA","ADM2"
"90","BRB","ADM0"
"91","BRB","ADM1"
"92","BRN","ADM0"
"93","BRN","ADM1"
"94","BRN","ADM2"
"95","BTN","ADM0"
"96","BTN","ADM1"
"97","BTN","ADM2"
"98","BWA","ADM0"
"99","BWA","ADM1"
"100","BWA","ADM2"
"101","CAF","ADM0"
"102","CAF","ADM1"
"103","CAF","ADM2"
"104","CAF","ADM3"
"105","CAF","ADM5"
"106","CAN","ADM0"
"107","CAN","ADM1"
"108","CAN","ADM2"
"109","CAN","ADM3"
"110","CHE","ADM0"
"111","CHE","ADM1"
"112","CHE","ADM2"
"113","CHE","ADM3"
"114","CHL","ADM0"
"115","CHL","ADM1"
"116","CHL","ADM2"
