"","boundaryName","boundaryISO"
"1","Aruba","ABW"
"2","Afghanistan","AFG"
"5","Angola","AGO"
"9","Anguilla","AIA"
"10","Albania","ALB"
"14","Andorra","AND"
"16","United Arab Emirates","ARE"
"18","Argentina","ARG"
"21","Armenia","ARM"
"24","American Samoa","ASM"
"26","Antartica","ATA"
"27","Antigua and Barbuda","ATG"
"29","Australia","AUS"
"32","Austria","AUT"
"37","Azerbaijan","AZE"
"40","Burundi","BDI"
"44","Belgium","BEL"
"49","Benin","BEN"
"53","Bonaire Sint Eustatius and Saba","BES"
"54","Burkina Faso","BFA"
"58","Bangladesh","BGD"
"63","Bulgaria","BGR"
"66","Bahrain","BHR"
"68","Bahamas","BHS"
"71","Bosnia and Herzegovina","BIH"
"75","Saint Barthélemy","BLM"
"76","Belarus","BLR"
"79","Belize","BLZ"
"82","Bermuda","BMU"
"83","Bolivia (Plurinational State of)","BOL"
"87","Brazil","BRA"
"90","Barbados","BRB"
"92","Brunei Darussalam","BRN"
"95","Bhutan","BTN"
"98","Botswana","BWA"
"101","Central African Republic","CAF"
"106","Canada","CAN"
"110","Switzerland","CHE"
"114","Chile","CHL"
"118","China","CHN"
"122","Côte d'Ivoire","CIV"
"126","Cameroon","CMR"
"130","Democratic Republic of the Congo","COD"
"133","Congo","COG"
"136","Cook Islands","COK"
"137","Colombia","COL"
"140","Comoros","COM"
"144","Cabo Verde","CPV"
"147","Costa Rica","CRI"
"151","Cuba","CUB"
"154","Curaçao","CUW"
"155","Cayman Islands","CYM"
"156","Cyprus","CYP"
"159","Czechia","CZE"
"164","Germany","DEU"
"168","Djibouti","DJI"
"171","Dominica","DMA"
"173","Denmark","DNK"
"176","Dominican Republic","DOM"
"179","Algeria","DZA"
"183","Ecuador","ECU"
"186","Egypt","EGY"
"189","Eritrea","ERI"
"192","Spain","ESP"
"196","Estonia","EST"
"200","Ethiopia","ETH"
"204","Finland","FIN"
"208","Fiji","FJI"
"213","Falkland Islands (Malvinas)","FLK"
"214","France","FRA"
"220","Faroe Islands","FRO"
"221","Micronesia (Fed. States of)","FSM"
"224","Gabon","GAB"
"227","United Kingdom","GBR"
"231","Georgia","GEO"
"234","Guernsey","GGY"
"235","Ghana","GHA"
"238","Gibraltar","GIB"
"239","Guinea","GIN"
"243","Guadeloupe","GLP"
"245","Gambia","GMB"
"249","Guinea-Bissau","GNB"
"252","Equatorial Guinea","GNQ"
"255","Greece","GRC"
"259","Grenada","GRD"
"261","Greenland","GRL"
"263","Guatemala","GTM"
"266","French Guiana","GUF"
"268","Guam","GUM"
"270","Guyana","GUY"
"273","Honduras","HND"
"276","Croatia","HRV"
"279","Haiti","HTI"
"283","Hungary","HUN"
"287","Indonesia","IDN"
"290","Isle of Man","IMN"
"297","Ireland","IRL"
"300","Iran (Islamic Republic of)","IRN"
"305","Iraq","IRQ"
"308","Iceland","ISL"
"311","Israel","ISR"
"314","Italy","ITA"
"319","Jamaica","JAM"
"323","Jordan","JOR"
"326","Japan","JPN"
"329","Kazakhstan","KAZ"
"332","Kenya","KEN"
"336","Kyrgyzstan","KGZ"
"339","Cambodia","KHM"
"343","Kiribati","KIR"
"346","Saint Kitts and Nevis","KNA"
"348","Republic of Korea","KOR"
"352","Kuwait","KWT"
"355","Lao People's Democratic Republic","LAO"
"358","Lebanon","LBN"
"361","Liberia","LBR"
